,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
295,DDAP-Licensed Treatment Facility,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,215-426-8100,42,101,51,51,"{'latitude': '39.981628', 'longitude': '-75.134628', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
296,DDAP-Licensed Treatment Facility,Open Arms Recovery Center,300 Frederick Street Suite 3,York,717-969-2894,42,133,67,67,"{'latitude': '39.800632', 'longitude': '-76.981951', 'human_address': '{""address"": """", ""city"": ""Hanover"", ""state"": ""Pennsylvania"", ""zip"": ""17331""}'}",1941,20,120,19,12
297,DDAP-Licensed Treatment Facility,Pennsylvania Psychiatric Institute,2501 North Third Street,Dauphin,717-562-3773,42,043,22,22,"{'latitude': '40.286504', 'longitude': '-76.898104', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17110""}'}",1625,182,42,23,18
298,Center of Excellence,"Maternal Addiction Treatment, Education, and Research (MATER)",1233 Locust Street,Philadelphia,215-503-1744,42,101,51,51,"{'latitude': '39.948249', 'longitude': '-75.161923', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19107""}'}",1069,365,190,47,13
299,Center of Excellence,Family Service Association of Bucks County,4 Cornerstone Drive,Bucks,215-757-6919 x104,42,017,9,09,"{'latitude': '40.189043', 'longitude': '-74.884942', 'human_address': '{""address"": """", ""city"": ""Langhorne"", ""state"": ""Pennsylvania"", ""zip"": ""19047""}'}",391,284,165,50,35
300,DDAP-Licensed Treatment Facility,Northwestern Human Services of Montgomery County,400 North Broad Street,Montgomery,215-368-2022,42,091,46,46,"{'latitude': '40.24414', 'longitude': '-75.28171', 'human_address': '{""address"": """", ""city"": ""Lansdale"", ""state"": ""Pennsylvania"", ""zip"": ""19446""}'}",910,313,200,37,57
301,DDAP-Licensed Treatment Facility,Parkside Recovery,5000 Parkside Avenue,Philadelphia,215-879-6116,42,101,51,51,"{'latitude': '39.9798235', 'longitude': '-75.2197126', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19131""}'}",1069,365,188,43,13
302,DDAP-Licensed Treatment Facility,"Wormack, Inc.",201 East Fairview Avenue,Fayette,724-570-3556,42,051,26,26,"{'latitude': '40.017287', 'longitude': '-79.586606', 'human_address': '{""address"": """", ""city"": ""Connellsville"", ""state"": ""Pennsylvania"", ""zip"": ""15425""}'}",529,77,8,1,31
303,DDAP-Licensed Treatment Facility,Addiction Recovery Services,"355 Fifth Avenue, Suite 1419",Allegheny,412-855-4677,42,003,2,02,"{'latitude': '40.4404409', 'longitude': '-79.9986958', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15222""}'}",2158,324,164,6,40
304,DDAP-Licensed Treatment Facility,Rehab After Work,"2500 York Road, Suite 145",Bucks,610-644-6464,42,017,9,09,"{'latitude': '40.262543', 'longitude': '-75.08618', 'human_address': '{""address"": """", ""city"": ""Jamison"", ""state"": ""Pennsylvania"", ""zip"": ""18929""}'}",397,22,158,50,35
305,PacMAT,"UPMC Insurance Division, Safe Harbor Behavioral Health of UPMC Hamot",1330 W. 26th Street,Erie,814-459-9300,42,049,25,25,"{'latitude': '42.1019838', 'longitude': '-80.102604', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16508""}'}",2182,61,50,4,30
306,DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),"3501 Forbes Avenue, Oxford Building, 9th Floor",Allegheny,412-246-5910,42,003,2,02,"{'latitude': '40.4379259', 'longitude': '-79.9556424', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15213""}'}",2158,324,106,11,40
307,DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.","225 South Street, Suite 1",Elk,814-788-2080,42,047,24,24,"{'latitude': '41.420339', 'longitude': '-78.728639', 'human_address': '{""address"": """", ""city"": ""Ridgway"", ""state"": ""Pennsylvania"", ""zip"": ""15853""}'}",1760,405,15,14,29
308,DDAP-Licensed Treatment Facility,"Good Friends, Inc.","Po Box 165, 868 West Bridge Street",Bucks,215-736-2861,42,017,9,09,"{'latitude': '40.2011703', 'longitude': '-74.7880726', 'human_address': '{""address"": """", ""city"": ""Morrisville"", ""state"": ""Pennsylvania"", ""zip"": ""19067""}'}",1914,326,168,40,35
309,DDAP-Licensed Treatment Facility,Central Behavioral Health,1201 Dekalb Street,Montgomery,610-279-9270,42,091,46,46,"{'latitude': '40.121982', 'longitude': '-75.336271', 'human_address': '{""address"": """", ""city"": ""Norristown"", ""state"": ""Pennsylvania"", ""zip"": ""19401""}'}",2374,301,152,41,57
310,DDAP-Licensed Treatment Facility,PA Treatment & Healing,1917 East Pleasant Valley Blvd,Blair,570-387-1051,42,013,7,07,"{'latitude': '40.530808', 'longitude': '-78.36206', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16602""}'}",1909,101,29,17,46
311,DDAP-Licensed Treatment Facility,"Cps Counseling Services, Inc.",8 North Main Street,York,717-467-5909,42,133,67,67,"{'latitude': '40.001349', 'longitude': '-76.851152', 'human_address': '{""address"": """", ""city"": ""Dover"", ""state"": ""Pennsylvania"", ""zip"": ""17315""}'}",1779,68,196,20,12
312,DDAP-Licensed Treatment Facility,Malvern Institute,"1566 Medical Drive, Suite 201",Montgomery,610-647-0330,42,091,46,46,"{'latitude': '40.238747', 'longitude': '-75.61413', 'human_address': '{""address"": """", ""city"": ""Pottstown"", ""state"": ""Pennsylvania"", ""zip"": ""19464""}'}",1221,302,57,33,57
313,DDAP-Licensed Treatment Facility,Schuylkill Health System Counseling Center - North,10 East Spruce Street,Schuylkill,570-874-7030,42,107,54,54,"{'latitude': '40.778324', 'longitude': '-76.22689', 'human_address': '{""address"": """", ""city"": ""Frackville"", ""state"": ""Pennsylvania"", ""zip"": ""17931""}'}",1772,316,53,27,64
314,DDAP-Licensed Treatment Facility,The Care Center D\B\A SPHS Care Center,35 South West Street,Greene,724-627-6108,42,059,30,30,"{'latitude': '39.89614', 'longitude': '-80.191505', 'human_address': '{""address"": """", ""city"": ""Waynesburg"", ""state"": ""Pennsylvania"", ""zip"": ""15370""}'}",77,27,1,12,37
315,DDAP-Licensed Treatment Facility,Renaissance Crossroads of Pennsylvania Counseling Services,"1700 South Lincoln Avenue, VA Medical Center, Building 183-B",Lebanon,717-274-8303,42,075,38,38,"{'latitude': '40.31241', 'longitude': '-76.40705', 'human_address': '{""address"": """", ""city"": ""Lebanon"", ""state"": ""Pennsylvania"", ""zip"": ""17042""}'}",398,44,130,28,25
316,DDAP-Licensed Treatment Facility,Strive Health,101 North Main Street,Westmoreland,724-302-0804,42,129,65,65,"{'latitude': '40.303758', 'longitude': '-79.544404', 'human_address': '{""address"": """", ""city"": ""Greensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",2380,214,81,13,24
317,Center of Excellence,New Directions Treatment Services,20-22 North 6th Avenue,Berks,610-478-0646 ext. 35,42,011,6,06,"{'latitude': '40.336623', 'longitude': '-75.949808', 'human_address': '{""address"": """", ""city"": ""West Reading"", ""state"": ""Pennsylvania"", ""zip"": ""19611""}'}",1591,494,150,31,45
318,DDAP-Licensed Treatment Facility,Child Guidance Resource Centers,2000 Old West Chester Pike,Delaware,484-454-8700,42,045,23,23,"{'latitude': '39.9757657', 'longitude': '-75.333782', 'human_address': '{""address"": """", ""city"": ""Havertown"", ""state"": ""Pennsylvania"", ""zip"": ""19083""}'}",1604,260,198,41,28
319,DDAP-Licensed Treatment Facility,Nuestra Clinica Rehabilitacion,50 East New Street,Lancaster,717-399-4283,42,071,36,36,"{'latitude': '40.036022', 'longitude': '-76.428174', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17602""}'}",1267,262,161,26,23
320,DDAP-Licensed Treatment Facility,"Rehab Management, Inc.",1440 Russell Road,Chester,610-889-9939,42,029,15,15,"{'latitude': '40.043335', 'longitude': '-75.471085', 'human_address': '{""address"": """", ""city"": ""Paoli"", ""state"": ""Pennsylvania"", ""zip"": ""19301""}'}",917,329,59,32,6
321,DDAP-Licensed Treatment Facility,Truenorth Wellness Services,1195 Roosevelt Avenue,York,717-843-0800,42,133,67,67,"{'latitude': '39.975724', 'longitude': '-76.752824', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17404""}'}",1155,495,135,24,12
322,DDAP-Licensed Treatment Facility,"Discovery House, Inc.","2710 West State Street, Route 224",Lawrence,724-598-7999,42,073,37,37,"{'latitude': '41.0036719', 'longitude': '-80.347009', 'human_address': '{""address"": """", ""city"": ""New Castle"", ""state"": ""Pennsylvania"", ""zip"": ""16101""}'}",622,231,22,2,27
323,DDAP-Licensed Treatment Facility,Reading Hospital,401 Buttonwood Street,Berks,484-628-8186,42,011,6,06,"{'latitude': '40.3413721', 'longitude': '-75.9116757', 'human_address': '{""address"": """", ""city"": ""West Reading"", ""state"": ""Pennsylvania"", ""zip"": ""19611""}'}",39,297,117,31,45
324,DDAP-Licensed Treatment Facility,PA Treatment and Healing,335 North Fourth Street,Carbon,610-377-8870,42,025,13,13,"{'latitude': '40.83743', 'longitude': '-75.71423', 'human_address': '{""address"": """", ""city"": ""Lehighton"", ""state"": ""Pennsylvania"", ""zip"": ""18235""}'}",1059,153,108,30,4
325,DDAP-Licensed Treatment Facility,"M G Therapeutic Services, LLC",100 West 6Th Street  Suite 305,Delaware,610-314-7478,42,045,23,23,"{'latitude': '39.923936', 'longitude': '-75.390115', 'human_address': '{""address"": """", ""city"": ""Media"", ""state"": ""Pennsylvania"", ""zip"": ""19063""}'}",2336,380,63,39,28
326,DDAP-Licensed Treatment Facility,UPMC Mercy,1400 Locust Street,Allegheny,412-232-5565,42,003,2,02,"{'latitude': '40.4361368', 'longitude': '-79.9852854', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15219""}'}",2158,324,164,6,40
327,DDAP-Licensed Treatment Facility,White Deer Run of Williamsport,"520 West Fourth Street, Suite 3D",Lycoming,570-322-4836,42,081,41,41,"{'latitude': '41.2399965', 'longitude': '-77.0111069', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1903,441,76,21,15
328,DDAP-Licensed Treatment Facility,"Southwest Nu-Stop Philadelphia, Inc.",5616 Woodland Avenue,Philadelphia,215-729-2014,42,101,51,51,"{'latitude': '39.93424', 'longitude': '-75.222', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19143""}'}",1069,365,192,44,13
329,DDAP-Licensed Treatment Facility,Summit IOP Limited,702 Hyde Park,Bucks,866- 745-2140,42,017,9,09,"{'latitude': '40.319142', 'longitude': '-75.095615', 'human_address': '{""address"": """", ""city"": ""Doylestown"", ""state"": ""Pennsylvania"", ""zip"": ""18902""}'}",430,22,158,40,35
330,DDAP-Licensed Treatment Facility,Huntington Creek Recovery Center,890 Bethel Hill Road,Luzerne,570-864-3116,42,079,40,40,"{'latitude': '41.246509', 'longitude': '-76.234045', 'human_address': '{""address"": """", ""city"": ""Shickshinny"", ""state"": ""Pennsylvania"", ""zip"": ""18655""}'}",735,352,91,22,14
331,DDAP-Licensed Treatment Facility,Congreso De Latinos Unidos,216 West Somerset Street,Philadelphia,215-763-8870,42,101,51,51,"{'latitude': '39.9929394', 'longitude': '-75.1355357', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19133""}'}",1069,365,182,48,13
332,DDAP-Licensed Treatment Facility,GPHA Dental And Behavioral Health Center,5501 Woodland Avenue,Philadelphia,215-925-2400,42,101,51,51,"{'latitude': '39.935453', 'longitude': '-75.220785', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19143""}'}",1069,365,192,44,13
333,DDAP-Licensed Treatment Facility,"Retreat at Lancaster County PA, LLC",1170 South State Street,Lancaster,717-859-8000,42,071,36,36,"{'latitude': '40.16506', 'longitude': '-76.200516', 'human_address': '{""address"": """", ""city"": ""Ephrata"", ""state"": ""Pennsylvania"", ""zip"": ""17522""}'}",290,60,133,26,23
334,DDAP-Licensed Treatment Facility,Addiction Help Center,11603 Sr 61,Northumberland,570-509-4277,42,097,49,49,"{'latitude': '40.800639', 'longitude': '-76.419652', 'human_address': '{""address"": """", ""city"": ""Mt Carmel"", ""state"": ""Pennsylvania"", ""zip"": ""17851""}'}",1571,287,54,22,60
335,DDAP-Licensed Treatment Facility,"A Better Today, Inc. Satellite Hazleton",8 West Broad Street,Luzerne,570-455-9222,42,079,40,40,"{'latitude': '40.9540844', 'longitude': '-75.9743718', 'human_address': '{""address"": """", ""city"": ""Hazleton"", ""state"": ""Pennsylvania"", ""zip"": ""18201""}'}",1329,261,107,30,14
336,DDAP-Licensed Treatment Facility,Lehigh Valley Drug and Alcohol Intake Unit,548 North New Street,Northampton,610-866-4088,42,095,48,48,"{'latitude': '40.622257', 'longitude': '-75.37702', 'human_address': '{""address"": """", ""city"": ""Bethlehem"", ""state"": ""Pennsylvania"", ""zip"": ""18018""}'}",2123,121,141,10,59
337,DDAP-Licensed Treatment Facility,"Freedom Healthcare Services, LLC",773 Pershing Street,Lawrence,412-221-1091,42,073,37,37,"{'latitude': '40.871631', 'longitude': '-80.27427', 'human_address': '{""address"": """", ""city"": ""Ellwood City"", ""state"": ""Pennsylvania"", ""zip"": ""16117""}'}",450,59,25,2,27
338,Center of Excellence,"Community Health & Dental Care, Inc.",800 Heritage Drive,Montgomery,610-326-9460 ext. 107 ,42,091,46,46,"{'latitude': '40.246174', 'longitude': '-75.60156', 'human_address': '{""address"": """", ""city"": ""Pottstown"", ""state"": ""Pennsylvania"", ""zip"": ""19464""}'}",1221,302,57,33,57
339,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Broad Street",3025 North Broad Street,Philadelphia,215-223-9460,42,101,51,51,"{'latitude': '39.999242', 'longitude': '-75.152995', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19132""}'}",1069,365,182,46,13
340,PacMAT,"Geisinger Clinic, OB/GYN MAT Program, Wilkes Barre",25 Church Street ,Luzerne ,570-808-8921,42,079,40,40,"{'latitude': '41.237166', 'longitude': '-75.908171', 'human_address': '{""address"": """", ""city"": ""Wilkes Barre"", ""state"": ""Pennsylvania"", ""zip"": ""18765""}'}",1517,453,99,30,14
341,DDAP-Licensed Treatment Facility,Cove Forge Renewal Center,624 Broad Street,Cambria,814-539-0836,42,021,11,11,"{'latitude': '40.3405083', 'longitude': '-78.9305271', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15906""}'}",339,208,21,16,2
342,DDAP-Licensed Treatment Facility,"Minsec Treatment, LLC",3768 L Street,Philadelphia,215-744-9601,42,101,51,51,"{'latitude': '40.0149445', 'longitude': '-75.0903154', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19124""}'}",1069,365,184,48,13
343,DDAP-Licensed Treatment Facility,"Adaptive Behavioral Services, Inc.","100 Superior Avenue, Suite 307",Beaver,724-378-1230,42,007,4,04,"{'latitude': '40.618934', 'longitude': '-80.246626', 'human_address': '{""address"": """", ""city"": ""Aliquippa"", ""state"": ""Pennsylvania"", ""zip"": ""15001""}'}",151,7,156,12,42
344,DDAP-Licensed Treatment Facility,RHD - Womanspace,120 Ardmore Avenue,Montgomery,610-649-8136,42,091,46,46,"{'latitude': '40.00717', 'longitude': '-75.297278', 'human_address': '{""address"": """", ""city"": ""Ardmore"", ""state"": ""Pennsylvania"", ""zip"": ""19003""}'}",673,230,175,41,57
345,DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC",766 East Pittsburgh Street Suite 101,Westmoreland,412-246-8965,42,129,65,65,"{'latitude': '40.3023188', 'longitude': '-79.5264865', 'human_address': '{""address"": """", ""city"": ""Greensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",2380,214,81,13,24
346,DDAP-Licensed Treatment Facility,"Another Way, Inc.",708 Nelson Road,Fayette,724-329-7900,42,051,26,26,"{'latitude': '39.8191606', 'longitude': '-79.57589', 'human_address': '{""address"": """", ""city"": ""Farmington"", ""state"": ""Pennsylvania"", ""zip"": ""15437""}'}",1824,398,7,1,31
347,DDAP-Licensed Treatment Facility,"Psychological Services Clinic, Inc.",352 Arch Street,Northumberland,570-286-5081,42,097,49,49,"{'latitude': '40.862843', 'longitude': '-76.79116', 'human_address': '{""address"": """", ""city"": ""Sunbury"", ""state"": ""Pennsylvania"", ""zip"": ""17801""}'}",1829,375,73,22,60
348,DDAP-Licensed Treatment Facility,MCP/Caring Together,"4700 Wissahickon Avenue, Building C Suite 102",Philadelphia,215-967-2130,42,101,51,51,"{'latitude': '40.0161021', 'longitude': '-75.173072', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,43,13
349,DDAP-Licensed Treatment Facility,Pyramid Healthcare Lehigh Valley,124 Bridge Street,Lehigh,484-240-4107,42,077,39,39,"{'latitude': '40.654153', 'longitude': '-75.474103', 'human_address': '{""address"": """", ""city"": ""Catasauqua"", ""state"": ""Pennsylvania"", ""zip"": ""18032""}'}",342,18,142,10,26
350,DDAP-Licensed Treatment Facility,Project Transition,6201 North Front Street Suite 106,Philadelphia,215-548-5493,42,101,51,51,"{'latitude': '40.0450807', 'longitude': '-75.1176125', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19120""}'}",1069,365,179,46,13
351,Center of Excellence,The Steven Klein Wellness Center (Pathways to Housing PA),5201 Old York Road,Philadelphia,"215-320-6187, ext 5756",42,101,51,51,"{'latitude': '40.033224', 'longitude': '-75.144642', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19141""}'}",1069,365,178,46,13
352,DDAP-Licensed Treatment Facility,"Blueprints For Addiction Recovery, Inc.",222 South Market Street  Suite 202,Lancaster,717-361-1660,42,071,36,36,"{'latitude': '40.14841', 'longitude': '-76.604425', 'human_address': '{""address"": """", ""city"": ""Elizabethtown"", ""state"": ""Pennsylvania"", ""zip"": ""17022""}'}",1514,33,134,26,23
