,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
285,State Police-Troop C / Punxsutawney,485 N Findley St.,Punx,PA,15767,Jefferson,"{'latitude': '40.950063', 'longitude': '-78.979053', 'human_address': '{""address"": ""485 N Findley St."", ""city"": ""Punx"", ""state"": ""PA"", ""zip"": ""15767""}'}","{'type': 'Point', 'coordinates': [-78.979062, 40.950138]}",40.950138,-78.979062,No,Active,14,20,3,42,306,16,,,,
286,Pen Argyl Police Department,11 North Robinson Avenue,Pen Argyl,PA,18072,Northampton,"{'latitude': '40.869084', 'longitude': '-75.255202', 'human_address': '{""address"": ""11 North Robinson Avenue"", ""city"": ""Pen Argyl"", ""state"": ""PA"", ""zip"": ""18072""}'}","{'type': 'Point', 'coordinates': [-75.25562, 40.868945]}",40.868945,-75.25562,No,Active,38,59,12,2319,337,114,610-759-8517,8:00 a.m. - 4:00 p.m.,Operational,Pat Stonaker
287,State Police-Troop H / Harrisburg,8000 Bretz Dr.,Harrisburg,PA,17112,Dauphin,"{'latitude': '40.337026', 'longitude': '-76.710837', 'human_address': '{""address"": ""8000 Bretz Dr."", ""city"": ""Harrisburg"", ""state"": ""PA"", ""zip"": ""17112""}'}","{'type': 'Point', 'coordinates': [-76.7111, 40.336439]}",40.336439,-76.7111,No,Active,23,18,16,383,25,68,,,,
288,Mercer County Sheriff's Office,"205 South Erie Street, Rm 102",Mercer,PA,16137,Mercer,"{'latitude': '41.225102', 'longitude': '-80.239924', 'human_address': '{""address"": ""205 South Erie Street, Rm 102"", ""city"": ""Mercer"", ""state"": ""PA"", ""zip"": ""16137""}'}","{'type': 'Point', 'coordinates': [-80.239817, 41.225235]}",41.225235,-80.239817,Yes,Active,3,54,11,2558,247,12,(724)662-3800,M-F 10am-2pm.,Operational,Sheriff Gary A. Hartman
289,Weis Markets (Selinsgrove),719 Route 522,Selinsgrove,PA,17870,Snyder,"{'latitude': '40.81015', 'longitude': '-76.864857', 'human_address': '{""address"": ""719 Route 522"", ""city"": ""Selinsgrove"", ""state"": ""PA"", ""zip"": ""17870""}'}","{'type': 'Point', 'coordinates': [-76.86534, 40.811422]}",40.811422,-76.86534,No,Active,22,65,2,1769,421,72,570-374-1210,Monday – Friday: 9 a.m. – 9 p.m./ Saturday: 9 a.m. – 6 p.m./ Sunday: 10 a.m. – 5 p.m.,Pharmacy,
290,Giant Eagle Pharmacy #0008,200 Tarentum Bridge Road,New Kensington,PA,15068,Westmoreland,"{'latitude': '40.59144', 'longitude': '-79.75159', 'human_address': '{""address"": ""200 Tarentum Bridge Road"", ""city"": ""New Kensington"", ""state"": ""PA"", ""zip"": ""15068""}'}","{'type': 'Point', 'coordinates': [-79.749626, 40.592676]}",40.592676,-79.749626,No,Active,8,24,9,2454,235,79,(724) 339-4943,Pharmacy Hours,Pharmacy,
291,Easttown Police Department,566 Beaumont Rd,Devon,PA,19333,Chester,"{'latitude': '40.023355', 'longitude': '-75.427417', 'human_address': '{""address"": ""566 Beaumont Rd"", ""city"": ""Devon"", ""state"": ""PA"", ""zip"": ""19333""}'}","{'type': 'Point', 'coordinates': [-75.42646, 40.021629]}",40.021629,-75.42646,No,Active,39,6,14,1327,329,201,(610) 341-9780,,,
292,CVS #6042,3210 CARLISLE RD,DOVER,PA,17315,"YORK,PA","{'latitude': '39.984294', 'longitude': '-76.825147', 'human_address': '{""address"": ""3210 CARLISLE RD"", ""city"": ""DOVER"", ""state"": ""PA"", ""zip"": ""17315""}'}","{'type': 'Point', 'coordinates': [-76.825334, 39.983854]}",39.983854,-76.825334,No,Active,20,12,16,839,68,196,7172926665,Follows Pharmacy Hours of Operation,Pharmacy,
293,North Huntington Township Police Department,11279 Center Highway,Irwin,PA,15642,Westmoreland,"{'latitude': '40.329907', 'longitude': '-79.730078', 'human_address': '{""address"": ""11279 Center Highway"", ""city"": ""Irwin"", ""state"": ""PA"", ""zip"": ""15642""}'}","{'type': 'Point', 'coordinates': [-79.730003, 40.330216]}",40.330216,-79.730003,No,Active,13,24,9,2521,353,82,(724)863-8800,24 hours/7 days a week,Operational,
294,Sunbury Police Dept.,440 Market Street,Sunbury,PA,17801,Northumberland,"{'latitude': '40.860826', 'longitude': '-76.789879', 'human_address': '{""address"": ""440 Market Street"", ""city"": ""Sunbury"", ""state"": ""PA"", ""zip"": ""17801""}'}","{'type': 'Point', 'coordinates': [-76.7899477, 40.8608504]}",40.8608504,-76.7899477,Yes,Active,22,60,2,1829,375,73,(570)286-4584,M-F 8-4,Operational,Chief Stephen A. Mazzeo
295,Philadelphia Police Dept.-25th Police District,3901 Whitaker Ave.,Philadelphia,PA,19124,Philadelphia,"{'latitude': '40.009194', 'longitude': '-75.122194', 'human_address': '{""address"": ""3901 Whitaker Ave."", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19124""}'}","{'type': 'Point', 'coordinates': [-75.121852, 40.008636]}",40.008636,-75.121852,Yes,Active,48,13,5,1069,365,185,215-686-3250,,Operational,Michael Cram
296,WESTMORELAND REGIONAL HOSP,532 W PITTSBURGH ST,GREENSBURG,PA,15601,Westmoreland,"{'latitude': '40.301303', 'longitude': '-79.555426', 'human_address': '{""address"": ""532 W PITTSBURGH ST"", ""city"": ""GREENSBURG"", ""state"": ""PA"", ""zip"": ""15601""}'}","{'type': 'Point', 'coordinates': [-79.554788, 40.300616]}",40.300616,-79.554788,No,Active,13,24,9,2380,214,81,,,Pharmacy,
297,Geisinger CareSite Pharmacy (Dallas),114 Lt. Michael Cleary Drive,Dallas,PA,18612,Luzerne,,"{'type': 'Point', 'coordinates': [-75.949516, 41.331008]}",41.331008,-75.949516,Yes,Active,,,1,,,,(570)674-2001,M-F 8:30-6pm and Sat 9am-1pm.,,Chief Robert G. Jolley
298,South Centre Township Police Department,6260 4th Street,Bloomsburg,PA,17815,Columbia,"{'latitude': '41.024664', 'longitude': '-76.34539', 'human_address': '{""address"": ""6260 4th Street"", ""city"": ""Bloomsburg"", ""state"": ""PA"", ""zip"": ""17815""}'}","{'type': 'Point', 'coordinates': [-76.3453, 41.024397]}",41.024397,-76.3453,No,Active,22,10,1,1104,24,90,570-785-5882,,,Chief William Richendrfer
299,Columbia Borough Police Dept.,308 Locust Street,Columbia,PA,17512,Lancaster,"{'latitude': '40.032114', 'longitude': '-76.502248', 'human_address': '{""address"": ""308 Locust Street"", ""city"": ""Columbia"", ""state"": ""PA"", ""zip"": ""17512""}'}","{'type': 'Point', 'coordinates': [-76.5021332, 40.0319252]}",40.0319252,-76.5021332,Yes,Active,26,23,15,1193,151,134,(717)684-7735,M- 8-4/ Tues-Sat 8-4 then 6pm-2am,Operational,"Chief Jack R. Brommer, Jr."
300,Royersford Borough Police Department,300 Main Street,Royersford,PA,19468,Montgomery,"{'latitude': '40.183936', 'longitude': '-75.540678', 'human_address': '{""address"": ""300 Main Street"", ""city"": ""Royersford"", ""state"": ""PA"", ""zip"": ""19468""}'}","{'type': 'Point', 'coordinates': [-75.540524, 40.184009]}",40.184009,-75.540524,Yes,Active,33,57,8,2103,241,57,(610) 256-8041,,,Chief Thomas Nerlinger
301,State Police-Troop N / Hazleton,250 Dessen Dr.,West Hazleton,PA,18202,Luzerne,"{'latitude': '40.977856', 'longitude': '-76.017623', 'human_address': '{""address"": ""250 Dessen Dr."", ""city"": ""West Hazleton"", ""state"": ""PA"", ""zip"": ""18202""}'}","{'type': 'Point', 'coordinates': [-75.429248, 40.647751]}",40.647751,-75.429248,No,Active,30,14,12,934,261,92,,,,
302,Lawrence Park Police Department,4230 Iroquois Ave,Erie,PA,16511,Erie,"{'latitude': '42.152135', 'longitude': '-80.012114', 'human_address': '{""address"": ""4230 Iroquois Ave"", ""city"": ""Erie"", ""state"": ""PA"", ""zip"": ""16511""}'}","{'type': 'Point', 'coordinates': [-80.007413, 42.149242]}",42.149242,-80.007413,No,Active,4,30,11,2084,244,51,(814)898-1634,Please contact location,Operational,
303,Alliance Pharmacy Company - Jefferson Health,1245 Highland Ave,Abington,PA,19001,Montgomery,"{'latitude': '40.11966', 'longitude': '-75.12165', 'human_address': '{""address"": ""1245 Highland Ave"", ""city"": ""Abington"", ""state"": ""PA"", ""zip"": ""19001""}'}","{'type': 'Point', 'coordinates': [-75.12251, 40.118706]}",40.118706,-75.12251,No,Active,45,57,8,624,8,171,(215) 481-4318,Mon – Fri: 7:30 am to 5:30 pm,Pharmacy,Stephanie Piono
304,CVS #1599,700 WEST FRONT ST.,BERWICK,PA,18603,"COLUMBIA,PA","{'latitude': '41.050779', 'longitude': '-76.244386', 'human_address': '{""address"": ""700 WEST FRONT ST."", ""city"": ""BERWICK"", ""state"": ""PA"", ""zip"": ""18603""}'}","{'type': 'Point', 'coordinates': [-76.244608, 41.050381]}",41.050381,-76.244608,No,Active,22,10,1,1697,120,90,5707527462,Follows Pharmacy Hours of Operation,Pharmacy,
305,Kennett Square Police Dept.,115 North Broad Street,Kennett Square,PA,19348,Chester,"{'latitude': '39.84767', 'longitude': '-75.710846', 'human_address': '{""address"": ""115 North Broad Street"", ""city"": ""Kennett Square"", ""state"": ""PA"", ""zip"": ""19348""}'}","{'type': 'Point', 'coordinates': [-75.710586, 39.8478104]}",39.8478104,-75.710586,Yes,Active,35,6,14,1940,87,64,(610)444-0501,M-F 8:30-4:30,Operational,Chief Edward A. Zunino
306,Borough of Green Tree Police Dept.,10 West Manilla Avenue,Pittsburgh,PA,15220,Allegheny,"{'latitude': '40.41821', 'longitude': '-80.046894', 'human_address': '{""address"": ""10 West Manilla Avenue"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15220""}'}","{'type': 'Point', 'coordinates': [-80.047023, 40.418767]}",40.418767,-80.047023,Yes,Active,6,40,17,1652,170,97,(412)921-8624,unknown,ordered 4-26-16,Chief Colin Cleary
307,Hershey Medical Center Campus University Physicians Center,200 Campus Dr,Hershey,PA,17033,Dauphin,"{'latitude': '40.263574', 'longitude': '-76.673755', 'human_address': '{""address"": ""200 Campus Dr"", ""city"": ""Hershey"", ""state"": ""PA"", ""zip"": ""17033""}'}","{'type': 'Point', 'coordinates': [-76.6721578, 40.2644311]}",40.2644311,-76.6721578,No,Active,23,18,16,280,66,69,(800) 243-1455,,,
308,Cumberland Co. Old Prison,37 East High Street,Carlisle,PA,17013,Cumberland,"{'latitude': '40.201297', 'longitude': '-77.187049', 'human_address': '{""address"": ""37 East High Street"", ""city"": ""Carlisle"", ""state"": ""PA"", ""zip"": ""17013""}'}","{'type': 'Point', 'coordinates': [-77.187317, 40.2013796]}",40.2013796,-77.187317,Yes,Active,20,17,16,1678,146,40,(717)240-6392,"M-F, 8am-4:30pm",Operational,Sheriff Ronny R. Anderson
309,Prospect Park Borough Police,720 Maryland Ave.,Prospect Park,PA,19076,Delaware,"{'latitude': '39.888267', 'longitude': '-75.308533', 'human_address': '{""address"": ""720 Maryland Ave."", ""city"": ""Prospect Park"", ""state"": ""PA"", ""zip"": ""19076""}'}","{'type': 'Point', 'coordinates': [-75.308338, 39.888086]}",39.888086,-75.308338,No,Active,39,28,18,1803,271,67,,,,
310,City of McKeesport Police Dept.,201 Lysle Boulevard,McKeesport,PA,15132,Allegheny,"{'latitude': '40.351407', 'longitude': '-79.86642', 'human_address': '{""address"": ""201 Lysle Boulevard"", ""city"": ""McKeesport"", ""state"": ""PA"", ""zip"": ""15132""}'}","{'type': 'Point', 'coordinates': [-79.866429, 40.351608]}",40.351608,-79.866429,Yes,Active,8,40,10,2153,243,87,(412)675-5050,,,Chief Bryan Washowich
311,West York Borough Police Department,1381 W. Poplar Street,York,PA,17404,York,"{'latitude': '39.950944', 'longitude': '-76.757148', 'human_address': '{""address"": ""1381 W. Poplar Street"", ""city"": ""York"", ""state"": ""PA"", ""zip"": ""17404""}'}","{'type': 'Point', 'coordinates': [-76.757274, 39.951179]}",39.951179,-76.757274,No,Active,24,12,16,789,407,135,(717)854-1975,"Open Monday through Friday, 9AM to 4:30PM",Operational,
312,"RITE AID OF PENNSYLVANIA, INC. #1074 (LEMOYNE)",1137 MARKET STREET,LEMOYNE,PA,17043,Cumberland,"{'latitude': '40.241796', 'longitude': '-76.907992', 'human_address': '{""address"": ""1137 MARKET STREET"", ""city"": ""LEMOYNE"", ""state"": ""PA"", ""zip"": ""17043""}'}","{'type': 'Point', 'coordinates': [-76.908259, 40.242459]}",40.242459,-76.908259,No,Active,20,17,16,1707,486,39,717-737-3359,,Pharmacy,
313,Upper Macungie Twp. Police Dept.,37 Grim Road,Breinigsville,PA,18031,Lehigh,"{'latitude': '40.564727', 'longitude': '-75.629974', 'human_address': '{""address"": ""37 Grim Road"", ""city"": ""Breinigsville"", ""state"": ""PA"", ""zip"": ""18031""}'}","{'type': 'Point', 'coordinates': [-75.629641, 40.564877]}",40.564877,-75.629641,Yes,Active,36,26,12,552,336,111,(484)661-5911,"M-F 8am-4pm, except holidays.",Operational,Chief Edgardo Colon
314,Littlestown Borough Police Department,10 South Queen Street,Littlestown,PA,17340,Adams,"{'latitude': '39.744476', 'longitude': '-77.088014', 'human_address': '{""address"": ""10 South Queen Street"", ""city"": ""Littlestown"", ""state"": ""PA"", ""zip"": ""17340""}'}","{'type': 'Point', 'coordinates': [-77.087799, 39.744577]}",39.744577,-77.087799,Yes,Active,19,39,13,1671,157,35,717-359-4511,7:00 am – 3:30 pm Monday thru Friday,Operational,
315,Nazareth Borough Police Dept.,134 S. Main Street,Nazareth,PA,18064,Northampton,"{'latitude': '40.739638', 'longitude': '-75.311921', 'human_address': '{""address"": ""134 S. Main Street"", ""city"": ""Nazareth"", ""state"": ""PA"", ""zip"": ""18064""}'}","{'type': 'Point', 'coordinates': [-75.312033, 40.739636]}",40.739636,-75.312033,Yes,Active,38,59,12,2293,280,113,(610)759-9575,,Operational,Chief Thomas Trachta
316,West Lampeter Twp. Police Dept.,852 Village Road,Lampeter,PA,17537,Lancaster,,"{'type': 'Point', 'coordinates': [-76.24161, 39.989268]}",39.989268,-76.24161,Yes,Active,,,15,,,,(717)464-2421,M-F 8am - 4:30pm,Operational,Chief James Walsh
317,Carroll Township Police Department,555 Chestnut Grove Road,Dillsburg,PA,17019,York,"{'latitude': '40.109352', 'longitude': '-76.988441', 'human_address': '{""address"": ""555 Chestnut Grove Road"", ""city"": ""Dillsburg"", ""state"": ""PA"", ""zip"": ""17019""}'}","{'type': 'Point', 'coordinates': [-76.986217, 40.109663]}",40.109663,-76.986217,No,Active,20,12,16,2202,346,70,(717)432-3317,"Open Monday through Friday, 8:30AM to 4:30PM",Operational,
318,Giant Eagle Pharmacy #0067,8080 McIntyre Square Drive,Pittsburgh,PA,15237,Allegheny,"{'latitude': '40.556574', 'longitude': '-80.018043', 'human_address': '{""address"": ""8080 McIntyre Square Drive"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15237""}'}","{'type': 'Point', 'coordinates': [-80.018644, 40.555091]}",40.555091,-80.018644,No,Active,9,40,17,1963,239,154,(412) 364-8747,Pharmacy Hours,Pharmacy,
319,Millersburg Police Dept.,101 West Street,Millersburg,PA,17061,Dauphin,"{'latitude': '40.541948', 'longitude': '-76.962915', 'human_address': '{""address"": ""101 West Street"", ""city"": ""Millersburg"", ""state"": ""PA"", ""zip"": ""17061""}'}","{'type': 'Point', 'coordinates': [-76.9614302, 40.537387]}",40.537387,-76.9614302,Yes,Active,23,18,16,2256,162,41,(717)692-2323,M-F 8am-3pm,Operational,Cpl. Daniel A. Wise
320,Darby Borough Police Department,821 Summit Street,Darby,PA,19023,Delaware,"{'latitude': '39.920623', 'longitude': '-75.258239', 'human_address': '{""address"": ""821 Summit Street"", ""city"": ""Darby"", ""state"": ""PA"", ""zip"": ""19023""}'}","{'type': 'Point', 'coordinates': [-75.257908, 39.9210909]}",39.9210909,-75.257908,No,Active,44,28,18,2199,438,195,,Please contact location,Operational,
321,Wyoming County Sheriff's Dept.,1 Courthouse Square,Tunkhannock,PA,18657,Wyoming,,"{'type': 'Point', 'coordinates': [-75.948093, 41.540176]}",41.540176,-75.948093,Yes,Active,,,2,,,,(570)836-4681,,,Det. David Ide
322,Mount Joy Borough Police Department,21 E Main St,Mount Joy,PA,17552,Lancaster,"{'latitude': '40.109699', 'longitude': '-76.50227', 'human_address': '{""address"": ""21 E Main St"", ""city"": ""Mount Joy"", ""state"": ""PA"", ""zip"": ""17552""}'}","{'type': 'Point', 'coordinates': [-76.50221, 40.11002]}",40.11002,-76.50221,No,Active,26,23,15,1326,67,134,717) 653-1650,,,
323,Chester Co. Sheriff's Office,"201 W. Market St., Ste. 1201",West Chester,PA,19380,Chester,"{'latitude': '39.958161', 'longitude': '-75.607749', 'human_address': '{""address"": ""201 W. Market St., Ste. 1201"", ""city"": ""West Chester"", ""state"": ""PA"", ""zip"": ""19380""}'}","{'type': 'Point', 'coordinates': [-75.607983, 39.95848]}",39.95848,-75.607983,Yes,Active,32,6,14,905,480,148,(610)344-6850,M-F 8-4:30,Operational,Deputy Hercules Avello
324,CVS #6764,1321 ALLEGHENY ST.,JERSEY SHORE,PA,17740,"LYCOMING,PA","{'latitude': '41.20185', 'longitude': '-77.273972', 'human_address': '{""address"": ""1321 ALLEGHENY ST."", ""city"": ""JERSEY SHORE"", ""state"": ""PA"", ""zip"": ""17740""}'}","{'type': 'Point', 'coordinates': [-77.273874, 41.201526]}",41.201526,-77.273874,No,Active,21,15,2,459,198,75,5703989861,Follows Pharmacy Hours of Operation,Pharmacy,
325,Guthrie Towanda Memorial Hospital (Lobby area),91 Hospital Dr,Towanda,PA,18848,Bradford,"{'latitude': '41.783796', 'longitude': '-76.448602', 'human_address': '{""address"": ""91 Hospital Dr"", ""city"": ""Towanda"", ""state"": ""PA"", ""zip"": ""18848""}'}","{'type': 'Point', 'coordinates': [-76.448536, 41.784146]}",41.784146,-76.448536,No,Active,21,34,2,442,349,88,,,,
326,Brownsville Borough Police Dept.,200 Second Street,Brownsville,PA,15417,Fayette,"{'latitude': '40.020507', 'longitude': '-79.88958', 'human_address': '{""address"": ""200 Second Street"", ""city"": ""Brownsville"", ""state"": ""PA"", ""zip"": ""15417""}'}","{'type': 'Point', 'coordinates': [-79.890003, 40.020419]}",40.020419,-79.890003,Yes,Active,1,31,9,2456,98,1,(724)785-7334,,,Chief Stanley Jablonsky
327,Penn Medicine Lancaster General Health Convenience (Pharmacy Duke Street),555 N Duke Street,Lancaster,PA,17602,Lancaster,"{'latitude': '40.046975', 'longitude': '-76.305328', 'human_address': '{""address"": ""555 N Duke Street"", ""city"": ""Lancaster"", ""state"": ""PA"", ""zip"": ""17602""}'}","{'type': 'Point', 'coordinates': [-76.3042918, 40.047535]}",40.047535,-76.3042918,No,Active,25,23,15,1993,89,143,717-544-5929,,,
328,The Medicine Shoppe (Greenville),419 S. Main Street,Greenville,PA,16125,Mercer,"{'latitude': '41.410034', 'longitude': '-80.371095', 'human_address': '{""address"": ""419 S. Main Street"", ""city"": ""Greenville"", ""state"": ""PA"", ""zip"": ""16125""}'}","{'type': 'Point', 'coordinates': [-80.371054, 41.410129]}",41.410129,-80.371054,No,Active,3,54,11,2430,216,26,724-588-3875,,Pharmacy,
329,CVS #1625,1565 W. HARRISBURG PIKE,MIDDLETOWN,PA,17057,"DAUPHIN,PA","{'latitude': '40.198898', 'longitude': '-76.756024', 'human_address': '{""address"": ""1565 W. HARRISBURG PIKE"", ""city"": ""MIDDLETOWN"", ""state"": ""PA"", ""zip"": ""17057""}'}","{'type': 'Point', 'coordinates': [-76.756241, 40.199635]}",40.199635,-76.756241,No,Active,28,18,16,335,255,69,7179449681,Follows Pharmacy Hours of Operation,Pharmacy,
330,Ohio Township Police Dept.,126 Lenzner Court,Sewickley,PA,15143,Allegheny,"{'latitude': '40.555233', 'longitude': '-80.108147', 'human_address': '{""address"": ""126 Lenzner Court"", ""city"": ""Sewickley"", ""state"": ""PA"", ""zip"": ""15143""}'}","{'type': 'Point', 'coordinates': [-80.107771, 40.555344]}",40.555344,-80.107771,Yes,Active,7,40,17,1773,36,95,(412)259-8304,,,Chief Norbert Micklos
331,State College Police Dept.,243 South Allen Street,State College,PA,16801,Centre,"{'latitude': '40.792489', 'longitude': '-77.858755', 'human_address': '{""address"": ""243 South Allen Street"", ""city"": ""State College"", ""state"": ""PA"", ""zip"": ""16801""}'}","{'type': 'Point', 'coordinates': [-77.85879, 40.7928]}",40.7928,-77.85879,Yes,Active,18,5,2,890,406,18,(814)234-7150,,,Mr. Richard Ososkie
332,State Police-Troop D / Kittanning,130 Parkview Dr. Extension,Kittanning,PA,16201,Armstrong,"{'latitude': '40.820758', 'longitude': '-79.558187', 'human_address': '{""address"": ""130 Parkview Dr. Extension"", ""city"": ""Kittanning"", ""state"": ""PA"", ""zip"": ""16201""}'}","{'type': 'Point', 'coordinates': [-79.558218, 40.820777]}",40.820777,-79.558218,No,Active,15,41,3,1101,106,11,,,,
333,Monroeville Police Dept.,2700 Monroeville Boulevard,Monroeville,PA,15146,Allegheny,"{'latitude': '40.436419', 'longitude': '-79.780303', 'human_address': '{""address"": ""2700 Monroeville Boulevard"", ""city"": ""Monroeville"", ""state"": ""PA"", ""zip"": ""15146""}'}","{'type': 'Point', 'coordinates': [-79.779695, 40.435882]}",40.435882,-79.779695,Yes,Active,8,40,10,2205,57,83,(412)343-3400,,,Cpl. Mark A. Kandrack
